number_votes,share_votes,district,affiliation
150,0.3 %,Székesfehérvár,MEDETE PÁRT
2173,4.28 %,Székesfehérvár,LMP
27250,53.69 %,Székesfehérvár,FIDESZ-KDNP
1016,2.0 %,Székesfehérvár,MOMENTUM
268,0.53 %,Székesfehérvár,MUNKÁSPÁRT
356,0.7 %,Székesfehérvár,CSP
4761,9.38 %,Székesfehérvár,MSZP-PÁRBESZÉD
54,0.11 %,Székesfehérvár,MISZEP
72,0.14 %,Székesfehérvár,ÖSSZEFOGÁS PÁRT
14652,28.87 %,Székesfehérvár,JOBBIK
13777,32.15 %,Sárbogárd,JOBBIK
55,0.13 %,Sárbogárd,SZEM PÁRT
19,0.04 %,Sárbogárd,ECDP
30,0.07 %,Sárbogárd,HHP
35,0.08 %,Sárbogárd,OP
15,0.04 %,Sárbogárd,KEDN
22,0.05 %,Sárbogárd,EU.ROM
23,0.05 %,Sárbogárd,TAMP
74,0.17 %,Sárbogárd,DEMOKRATA PÁRT
24,0.06 %,Sárbogárd,MCP
12,0.03 %,Sárbogárd,ÉRTÜNK ÉRTETEK
44,0.1 %,Sárbogárd,MISZEP
1219,2.84 %,Sárbogárd,LMP
23982,55.97 %,Sárbogárd,FIDESZ-KDNP
2518,5.88 %,Sárbogárd,DK
7,0.02 %,Sárbogárd,ERP
22,0.05 %,Sárbogárd,EMMO
15,0.04 %,Sárbogárd,IMA
28,0.07 %,Sárbogárd,TENNI AKARÁS MOZGALOM
73,0.17 %,Sárbogárd,MIÉP
31,0.07 %,Sárbogárd,ÖSSZEFOGÁS PÁRT
0,0.0 %,Sárbogárd,MVMP
183,0.43 %,Sárbogárd,MUNKÁSPÁRT
34,0.08 %,Sárbogárd,KÖSSZ
609,1.42 %,Sárbogárd,EGYÜTT
14740,30.99 %,Székesfehérvár,DK
101,0.21 %,Székesfehérvár,MEDETE PÁRT
33,0.07 %,Székesfehérvár,EMMO
80,0.17 %,Székesfehérvár,ÖSSZEFOGÁS PÁRT
123,0.26 %,Székesfehérvár,MIÉP
2868,6.03 %,Székesfehérvár,LMP
0,0.0 %,Székesfehérvár,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
6599,13.87 %,Székesfehérvár,JOBBIK
0,0.0 %,Székesfehérvár,MOMENTUM
258,0.54 %,Székesfehérvár,MUNKÁSPÁRT
327,0.69 %,Székesfehérvár,CSP
22433,47.17 %,Székesfehérvár,FIDESZ-KDNP
29534,51.78 %,Hódmezővásárhely,FIDESZ-KDNP
52,0.09 %,Hódmezővásárhely,ÖSSZEFOGÁS PÁRT
198,0.35 %,Hódmezővásárhely,CSP
4234,7.42 %,Hódmezővásárhely,MSZP-PÁRBESZÉD
20940,36.71 %,Hódmezővásárhely,JOBBIK
1003,1.76 %,Hódmezővásárhely,LMP
749,1.31 %,Hódmezővásárhely,MKKP
50,0.09 %,Hódmezővásárhely,MEDETE PÁRT
169,0.3 %,Hódmezővásárhely,MUNKÁSPÁRT
110,0.19 %,Hódmezővásárhely,SEM
0,0.0 %,Hódmezővásárhely,MOMENTUM
468,0.85 %,Szentes,EGYÜTT
601,1.09 %,Szentes,Független jelölt
20808,37.79 %,Szentes,JOBBIK
134,0.24 %,Szentes,MIÉP
97,0.18 %,Szentes,REND PÁRT
27322,49.62 %,Szentes,FIDESZ-KDNP
100,0.18 %,Szentes,TENNI AKARÁS MOZGALOM
865,1.57 %,Szentes,MOMENTUM
158,0.29 %,Szentes,NEEM
38,0.07 %,Szentes,OCP
113,0.21 %,Szentes,KÖZÖS NEVEZŐ
96,0.17 %,Szentes,A HAZA PÁRTJA
49,0.09 %,Szentes,MCP
2671,4.85 %,Szentes,DK
1548,2.81 %,Szentes,LMP
0,0.0 %,Szentes,HAJRÁ MAGYARORSZÁG!
27344,44.62 %,Szeged,FIDESZ-KDNP
308,0.5 %,Szeged,EGYÜTT
6970,11.37 %,Szeged,JOBBIK
21711,35.43 %,Szeged,MSZP-PÁRBESZÉD
2512,4.1 %,Szeged,LMP
1097,1.79 %,Szeged,MOMENTUM
114,0.19 %,Szeged,KÖZÖS NEVEZŐ
1224,2.0 %,Szeged,MKKP
46,0.09 %,Tiszaújváros,MEDETE PÁRT
25,0.05 %,Tiszaújváros,ÖSSZEFOGÁS PÁRT
60,0.12 %,Tiszaújváros,SZEM PÁRT
28,0.05 %,Tiszaújváros,KÖSSZ
29,0.06 %,Tiszaújváros,NP
26,0.05 %,Tiszaújváros,MISZEP
133,0.26 %,Tiszaújváros,CSP
42,0.08 %,Tiszaújváros,REND PÁRT
7757,14.9 %,Tiszaújváros,MSZP-PÁRBESZÉD
107,0.21 %,Tiszaújváros,MIÉP
49,0.09 %,Tiszaújváros,KÖZÖS NEVEZŐ
1182,2.27 %,Tiszaújváros,LMP
25,0.05 %,Tiszaújváros,JÓ ÚT MPP
122,0.23 %,Tiszaújváros,DEMOKRATA PÁRT
95,0.18 %,Tiszaújváros,SEM
16469,31.64 %,Tiszaújváros,JOBBIK
41,0.08 %,Tiszaújváros,SZP
25662,49.3 %,Tiszaújváros,FIDESZ-KDNP
158,0.3 %,Tiszaújváros,MCP
30,0.06 %,Kazincbarcika,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
109,0.22 %,Kazincbarcika,FKGP
59,0.12 %,Kazincbarcika,MISZEP
20,0.04 %,Kazincbarcika,TAMP
32,0.07 %,Kazincbarcika,MEDETE PÁRT
26,0.05 %,Kazincbarcika,REND PÁRT
359,0.73 %,Kazincbarcika,MOMENTUM
25,0.05 %,Kazincbarcika,IRÁNYTŰ
248,0.51 %,Kazincbarcika,DMP
120,0.24 %,Kazincbarcika,DEMOKRATA PÁRT
272,0.56 %,Kazincbarcika,MUNKÁSPÁRT
8458,17.27 %,Kazincbarcika,MSZP-PÁRBESZÉD
1649,3.37 %,Kazincbarcika,LMP
0,0.0 %,Kazincbarcika,EMMO
21905,44.72 %,Kazincbarcika,FIDESZ-KDNP
151,0.31 %,Kazincbarcika,CSP
21,0.04 %,Kazincbarcika,ERP
68,0.14 %,Kazincbarcika,SEM
15,0.03 %,Kazincbarcika,JÓ ÚT MPP
25,0.05 %,Kazincbarcika,NEMZET ÉS BÉKE
111,0.23 %,Kazincbarcika,EGYÜTT
25,0.05 %,Kazincbarcika,ÖSSZEFOGÁS PÁRT
24,0.05 %,Kazincbarcika,ÉRTÜNK ÉRTETEK
252,0.51 %,Kazincbarcika,MCP
75,0.15 %,Kazincbarcika,MIÉP
31,0.06 %,Kazincbarcika,KÖZÖS NEVEZŐ
43,0.09 %,Kazincbarcika,KÖSSZ
14779,30.17 %,Kazincbarcika,JOBBIK
10,0.02 %,Kazincbarcika,ÚMF
44,0.09 %,Kazincbarcika,SZEM PÁRT
50,0.1 %,Mezőkövesd,ÖSSZEFOGÁS PÁRT
28718,54.79 %,Mezőkövesd,FIDESZ-KDNP
76,0.14 %,Mezőkövesd,SZEM PÁRT
36,0.07 %,Mezőkövesd,REND PÁRT
24,0.05 %,Mezőkövesd,KEDN
201,0.38 %,Mezőkövesd,MUNKÁSPÁRT
63,0.12 %,Mezőkövesd,KÖZÖS NEVEZŐ
11,0.02 %,Mezőkövesd,ERP
18,0.03 %,Mezőkövesd,SZP
17,0.03 %,Mezőkövesd,MISZEP
4390,8.38 %,Mezőkövesd,MSZP-PÁRBESZÉD
17,0.03 %,Mezőkövesd,TAMP
102,0.19 %,Mezőkövesd,MIÉP
14,0.03 %,Mezőkövesd,EMMO
6,0.01 %,Mezőkövesd,HAZA MINDENKIÉ
1771,3.38 %,Mezőkövesd,LMP
96,0.18 %,Mezőkövesd,MCP
17,0.03 %,Mezőkövesd,NP
25,0.05 %,Mezőkövesd,MEDETE PÁRT
16389,31.27 %,Mezőkövesd,JOBBIK
126,0.24 %,Mezőkövesd,EGYÜTT
113,0.22 %,Mezőkövesd,Független jelölt
137,0.26 %,Mezőkövesd,CSP
21019,35.65 %,Szeged,FIDESZ-KDNP
61,0.1 %,Szeged,MCP
2560,4.34 %,Szeged,LMP
64,0.11 %,Szeged,KÖSSZ
305,0.52 %,Szeged,CSP
45,0.08 %,Szeged,ÖSSZEFOGÁS PÁRT
1015,1.72 %,Szeged,MOMENTUM
6501,11.03 %,Szeged,JOBBIK
1525,2.59 %,Szeged,MKKP
73,0.12 %,Szeged,SZEM PÁRT
25748,43.67 %,Szeged,MSZP-PÁRBESZÉD
44,0.07 %,Szeged,ÉRTÜNK ÉRTETEK
22,0.05 %,Ózd,ÖSSZEFOGÁS PÁRT
0,0.0 %,Ózd,HAM
488,1.14 %,Ózd,MUNKÁSPÁRT
34,0.08 %,Ózd,KÖSSZ
39,0.09 %,Ózd,SZEM PÁRT
94,0.22 %,Ózd,SEM
74,0.17 %,Ózd,ERP
11,0.03 %,Ózd,NEMZET ÉS BÉKE
47,0.11 %,Ózd,MEDETE PÁRT
11,0.03 %,Ózd,NP
34,0.08 %,Ózd,REND PÁRT
0,0.0 %,Ózd,EMMO
1170,2.73 %,Ózd,LMP
147,0.34 %,Ózd,EGYÜTT
18,0.04 %,Ózd,KEDN
449,1.05 %,Ózd,MOMENTUM
60,0.14 %,Ózd,MIÉP
0,0.0 %,Ózd,OP
3441,8.03 %,Ózd,DK
20623,48.1 %,Ózd,FIDESZ-KDNP
15744,36.72 %,Ózd,JOBBIK
23,0.05 %,Ózd,LENDÜLETTEL
75,0.17 %,Ózd,CSP
49,0.11 %,Ózd,A HAZA PÁRTJA
18,0.04 %,Ózd,ÉBMP
34,0.08 %,Ózd,TAMP
76,0.18 %,Ózd,EU.ROM
38,0.09 %,Ózd,MISZEP
19,0.04 %,Ózd,JÓ ÚT MPP
37,0.09 %,Ózd,KÖZÖS NEVEZŐ
0,0.0 %,Ózd,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
87,0.18 %,Sátoraljaújhely,MISZEP
41,0.09 %,Sátoraljaújhely,SEM
32,0.07 %,Sátoraljaújhely,MEDETE PÁRT
62,0.13 %,Sátoraljaújhely,EU.ROM
17,0.04 %,Sátoraljaújhely,EMMO
67,0.14 %,Sátoraljaújhely,IMA
22,0.05 %,Sátoraljaújhely,ERP
212,0.44 %,Sátoraljaújhely,FKGP
73,0.15 %,Sátoraljaújhely,TENNI AKARÁS MOZGALOM
229,0.48 %,Sátoraljaújhely,MOMENTUM
6219,12.95 %,Sátoraljaújhely,LMP
75,0.16 %,Sátoraljaújhely,KÖSSZ
132,0.27 %,Sátoraljaújhely,MIÉP
56,0.12 %,Sátoraljaújhely,CSP
6,0.01 %,Sátoraljaújhely,JÓ ÚT MPP
23544,49.03 %,Sátoraljaújhely,FIDESZ-KDNP
14064,29.29 %,Sátoraljaújhely,JOBBIK
24,0.05 %,Sátoraljaújhely,NEMZET ÉS BÉKE
0,0.0 %,Sátoraljaújhely,KPP
361,0.75 %,Sátoraljaújhely,MCP
31,0.06 %,Sátoraljaújhely,SZEM PÁRT
110,0.23 %,Sátoraljaújhely,MUNKÁSPÁRT
20,0.04 %,Sátoraljaújhely,FITIP
39,0.08 %,Sátoraljaújhely,KÖZÖS NEVEZŐ
19,0.04 %,Sátoraljaújhely,ÖSSZEFOGÁS PÁRT
128,0.27 %,Sátoraljaújhely,EGYÜTT
2306,4.8 %,Sátoraljaújhely,DK
35,0.07 %,Sátoraljaújhely,IRÁNYTŰ
13,0.03 %,Sátoraljaújhely,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
14427,28.25 %,Miskolc,JOBBIK
59,0.12 %,Miskolc,SZEM PÁRT
39,0.08 %,Miskolc,MISZEP
667,1.31 %,Miskolc,MOMENTUM
0,0.0 %,Miskolc,LMP
367,0.72 %,Miskolc,Független jelölt
104,0.2 %,Miskolc,MCP
23,0.05 %,Miskolc,IRÁNYTŰ
98,0.19 %,Miskolc,MIÉP
10,0.02 %,Miskolc,LENDÜLETTEL
16,0.03 %,Miskolc,EMMO
27,0.05 %,Miskolc,SZP
172,0.34 %,Miskolc,CSP
5,0.01 %,Miskolc,ERP
189,0.37 %,Miskolc,MUNKÁSPÁRT
19434,38.06 %,Miskolc,FIDESZ-KDNP
63,0.12 %,Miskolc,KÖZÖS NEVEZŐ
11,0.02 %,Miskolc,NEMZET ÉS BÉKE
34,0.07 %,Miskolc,KÖSSZ
37,0.07 %,Miskolc,EU.ROM
11,0.02 %,Miskolc,ÖSSZEFOGÁS PÁRT
15274,29.91 %,Miskolc,MSZP-PÁRBESZÉD
361,0.73 %,Orosháza,MUNKÁSPÁRT
28,0.06 %,Orosháza,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
526,1.06 %,Orosháza,MOMENTUM
23,0.05 %,Orosháza,IRÁNYTŰ
18,0.04 %,Orosháza,EU.ROM
89,0.18 %,Orosháza,DEMOKRATA PÁRT
32,0.06 %,Orosháza,REND PÁRT
115,0.23 %,Orosháza,SEM
14,0.03 %,Orosháza,JÓ ÚT MPP
13,0.03 %,Orosháza,NP
31,0.06 %,Orosháza,MEDETE PÁRT
1081,2.19 %,Orosháza,LMP
542,1.1 %,Orosháza,EGYÜTT
35,0.07 %,Orosháza,KPP
160,0.32 %,Orosháza,Független jelölt
0,0.0 %,Orosháza,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
21312,43.15 %,Orosháza,FIDESZ-KDNP
70,0.14 %,Orosháza,SZEM PÁRT
0,0.0 %,Orosháza,HAJRÁ MAGYARORSZÁG!
38,0.08 %,Orosháza,TENNI AKARÁS MOZGALOM
71,0.14 %,Orosháza,FITIP
29,0.06 %,Orosháza,KÖSSZ
74,0.15 %,Orosháza,MIÉP
19510,39.5 %,Orosháza,JOBBIK
5107,10.34 %,Orosháza,MSZP-PÁRBESZÉD
25,0.05 %,Orosháza,MCP
0,0.0 %,Orosháza,FKGP
70,0.14 %,Orosháza,A HAZA PÁRTJA
21,0.04 %,Orosháza,ÖSSZEFOGÁS PÁRT
45,0.09 %,Békéscsaba,TENNI AKARÁS MOZGALOM
890,1.8 %,Békéscsaba,MOMENTUM
163,0.33 %,Békéscsaba,SEM
2610,5.27 %,Békéscsaba,LMP
252,0.51 %,Békéscsaba,CSP
45,0.09 %,Békéscsaba,MEDETE PÁRT
37,0.07 %,Békéscsaba,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
68,0.14 %,Békéscsaba,MIÉP
98,0.2 %,Békéscsaba,SZEM PÁRT
231,0.47 %,Békéscsaba,Független jelölt
848,1.71 %,Békéscsaba,MKKP
0,0.0 %,Békéscsaba,HAJRÁ MAGYARORSZÁG!
47,0.09 %,Békéscsaba,ÖSSZEFOGÁS PÁRT
89,0.18 %,Békéscsaba,A HAZA PÁRTJA
22133,44.7 %,Békéscsaba,FIDESZ-KDNP
16366,33.06 %,Békéscsaba,JOBBIK
13,0.03 %,Békéscsaba,JÓ ÚT MPP
115,0.23 %,Békéscsaba,Független jelölt
5461,11.03 %,Békéscsaba,DK
179,0.41 %,Baja,MUNKÁSPÁRT
0,0.0 %,Baja,FKGP
46,0.11 %,Baja,KÖSSZ
7880,18.0 %,Baja,MSZP-PÁRBESZÉD
728,1.66 %,Baja,MOMENTUM
0,0.0 %,Baja,MISZEP
23835,54.45 %,Baja,FIDESZ-KDNP
8203,18.74 %,Baja,JOBBIK
71,0.16 %,Baja,SEM
24,0.05 %,Baja,NEMZET ÉS BÉKE
15,0.03 %,Baja,ÖSSZEFOGÁS PÁRT
2557,5.84 %,Baja,LMP
30,0.07 %,Baja,TENNI AKARÁS MOZGALOM
209,0.48 %,Baja,CSP
56,0.12 %,Békés,KÖZÖS NEVEZŐ
133,0.29 %,Békés,DEMOKRATA PÁRT
41,0.09 %,Békés,KÖSSZ
36,0.08 %,Békés,MEDETE PÁRT
64,0.14 %,Békés,SZEM PÁRT
22,0.05 %,Békés,JÓ ÚT MPP
120,0.26 %,Békés,SEM
2550,5.47 %,Békés,LMP
24247,52.0 %,Békés,FIDESZ-KDNP
25,0.05 %,Békés,EU.ROM
24,0.05 %,Békés,SZP
678,1.45 %,Békés,MOMENTUM
20,0.04 %,Békés,TENNI AKARÁS MOZGALOM
85,0.18 %,Békés,A HAZA PÁRTJA
42,0.09 %,Békés,REND PÁRT
4039,8.66 %,Békés,DK
31,0.07 %,Békés,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
17,0.04 %,Békés,NP
0,0.0 %,Békés,HAJRÁ MAGYARORSZÁG!
28,0.06 %,Békés,IMA
12,0.03 %,Békés,HAZA MINDENKIÉ
149,0.32 %,Békés,CSP
88,0.19 %,Békés,MIÉP
315,0.68 %,Békés,MCP
34,0.07 %,Békés,IRÁNYTŰ
26,0.06 %,Békés,ÖSSZEFOGÁS PÁRT
20,0.04 %,Békés,OCP
15,0.03 %,Békés,NEMZET ÉS BÉKE
13707,29.39 %,Békés,JOBBIK
8,0.02 %,Békés,ECDP
15,0.03 %,Miskolc,EMMO
24,0.05 %,Miskolc,HHP
57,0.11 %,Miskolc,MEDETE PÁRT
0,0.0 %,Miskolc,LENDÜLETTEL
4,0.01 %,Miskolc,KEDN
17,0.03 %,Miskolc,NP
94,0.18 %,Miskolc,MCP
97,0.18 %,Miskolc,ÖSSZEFOGÁS PÁRT
6151,11.56 %,Miskolc,DK
41,0.08 %,Miskolc,KÖZÖS NEVEZŐ
20724,38.96 %,Miskolc,FIDESZ-KDNP
26,0.05 %,Miskolc,KÖSSZ
576,1.08 %,Miskolc,MOMENTUM
286,0.54 %,Miskolc,MUNKÁSPÁRT
2167,4.07 %,Miskolc,Független jelölt
39,0.07 %,Miskolc,EU.ROM
20597,38.72 %,Miskolc,JOBBIK
32,0.06 %,Miskolc,ÉRTÜNK ÉRTETEK
239,0.45 %,Miskolc,Független jelölt
158,0.3 %,Miskolc,CSP
77,0.14 %,Miskolc,MIÉP
7,0.01 %,Miskolc,ERP
35,0.07 %,Miskolc,SZEM PÁRT
1671,3.14 %,Miskolc,LMP
22,0.04 %,Miskolc,HAZA MINDENKIÉ
39,0.07 %,Miskolc,REND PÁRT
23,0.05 %,Gyula,NP
1740,3.79 %,Gyula,LMP
77,0.17 %,Gyula,SZEM PÁRT
149,0.32 %,Gyula,DEMOKRATA PÁRT
28,0.06 %,Gyula,MEDETE PÁRT
725,1.58 %,Gyula,MOMENTUM
28,0.06 %,Gyula,HAZA MINDENKIÉ
15,0.03 %,Gyula,IRÁNYTŰ
63,0.14 %,Gyula,MCP
50,0.11 %,Gyula,EU.ROM
0,0.0 %,Gyula,HAJRÁ MAGYARORSZÁG!
44,0.1 %,Gyula,SZP
31,0.07 %,Gyula,ÖSSZEFOGÁS PÁRT
8508,18.55 %,Gyula,MSZP-PÁRBESZÉD
23,0.05 %,Gyula,JÓ ÚT MPP
39,0.09 %,Gyula,KÖSSZ
10612,23.13 %,Gyula,JOBBIK
331,0.72 %,Gyula,A HAZA PÁRTJA
22,0.05 %,Gyula,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
193,0.42 %,Gyula,CSP
23135,50.43 %,Gyula,FIDESZ-KDNP
36,0.08 %,Gyula,TENNI AKARÁS MOZGALOM
95,0.21 %,Kalocsa,SZEM PÁRT
24,0.05 %,Kalocsa,TENNI AKARÁS MOZGALOM
13915,30.2 %,Kalocsa,JOBBIK
5127,11.13 %,Kalocsa,MSZP-PÁRBESZÉD
580,1.26 %,Kalocsa,MOMENTUM
1261,2.74 %,Kalocsa,LMP
39,0.08 %,Kalocsa,EU.ROM
27,0.06 %,Kalocsa,ÖSSZEFOGÁS PÁRT
40,0.09 %,Kalocsa,MISZEP
24519,53.22 %,Kalocsa,FIDESZ-KDNP
143,0.31 %,Kalocsa,SEM
34,0.07 %,Kalocsa,KEDN
218,0.47 %,Kalocsa,Független jelölt
47,0.1 %,Kalocsa,KÖSSZ
238,0.47 %,Kecskemét,MUNKÁSPÁRT
10001,19.76 %,Kecskemét,JOBBIK
299,0.59 %,Kecskemét,SEM
26695,52.74 %,Kecskemét,FIDESZ-KDNP
8421,16.64 %,Kecskemét,MSZP-PÁRBESZÉD
1532,3.03 %,Kecskemét,MOMENTUM
3426,6.77 %,Kecskemét,LMP
125,0.23 %,Pécs,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
144,0.27 %,Pécs,MIÉP
1277,2.39 %,Pécs,EGYÜTT
1015,1.9 %,Pécs,MKKP
21471,40.11 %,Pécs,FIDESZ-KDNP
327,0.61 %,Pécs,CSP
11160,20.85 %,Pécs,DK
85,0.16 %,Pécs,A HAZA PÁRTJA
1039,1.94 %,Pécs,MOMENTUM
50,0.09 %,Pécs,KÖSSZ
4899,9.15 %,Pécs,LMP
11858,22.15 %,Pécs,JOBBIK
75,0.14 %,Pécs,ÖSSZEFOGÁS PÁRT
1220,2.02 %,Budapest XXII. kerület,MKKP
24983,41.45 %,Budapest XXII. kerület,MSZP-PÁRBESZÉD
0,0.0 %,Budapest XXII. kerület,EGYÜTT
24144,40.06 %,Budapest XXII. kerület,FIDESZ-KDNP
145,0.24 %,Budapest XXII. kerület,AQP
2556,4.24 %,Budapest XXII. kerület,LMP
1703,2.83 %,Budapest XXII. kerület,MOMENTUM
5525,9.17 %,Budapest XXII. kerület,JOBBIK
338,0.72 %,Kecskemét,SEM
234,0.5 %,Kecskemét,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
0,0.0 %,Kecskemét,OP
11231,24.0 %,Kecskemét,JOBBIK
3595,7.68 %,Kecskemét,DK
134,0.29 %,Kecskemét,MIÉP
1105,2.36 %,Kecskemét,MOMENTUM
25519,54.53 %,Kecskemét,FIDESZ-KDNP
4642,9.92 %,Kecskemét,LMP
7887,14.08 %,Pécs,JOBBIK
3059,5.46 %,Pécs,LMP
139,0.25 %,Pécs,A HAZA PÁRTJA
137,0.24 %,Pécs,MIÉP
20702,36.97 %,Pécs,FIDESZ-KDNP
976,1.74 %,Pécs,MKKP
21988,39.26 %,Pécs,Független jelölt
104,0.19 %,Pécs,SZEM PÁRT
1011,1.81 %,Pécs,MOMENTUM
8673,15.58 %,Budapest XXI. kerület,JOBBIK
99,0.18 %,Budapest XXI. kerület,EU.ROM
112,0.2 %,Budapest XXI. kerület,SZEM PÁRT
101,0.18 %,Budapest XXI. kerület,MIÉP
0,0.0 %,Budapest XXI. kerület,EMMO
20653,37.09 %,Budapest XXI. kerület,FIDESZ-KDNP
0,0.0 %,Budapest XXI. kerület,LMP
39,0.07 %,Budapest XXI. kerület,REND PÁRT
317,0.57 %,Budapest XXI. kerület,CSP
1374,2.47 %,Budapest XXI. kerület,MKKP
41,0.07 %,Budapest XXI. kerület,MISZEP
49,0.09 %,Budapest XXI. kerület,MEDETE PÁRT
21,0.04 %,Budapest XXI. kerület,NP
66,0.12 %,Budapest XXI. kerület,KÖSSZ
0,0.0 %,Budapest XXI. kerület,HAM
0,0.0 %,Budapest XXI. kerület,MOMENTUM
23637,42.45 %,Budapest XXI. kerület,EGYÜTT
40,0.07 %,Budapest XXI. kerület,IRÁNYTŰ
303,0.54 %,Budapest XXI. kerület,MUNKÁSPÁRT
38,0.07 %,Budapest XXI. kerület,ÖSSZEFOGÁS PÁRT
0,0.0 %,Budapest XXI. kerület,SEM
118,0.21 %,Budapest XXI. kerület,KÖZÖS NEVEZŐ
0,0.0 %,Budapest XXI. kerület,MSZP-PÁRBESZÉD
27603,57.62 %,Mohács,FIDESZ-KDNP
134,0.28 %,Mohács,MCP
165,0.34 %,Mohács,FKGP
65,0.14 %,Mohács,MEDETE PÁRT
3345,6.98 %,Mohács,LMP
84,0.18 %,Mohács,ÖSSZEFOGÁS PÁRT
4262,8.9 %,Mohács,DK
11359,23.71 %,Mohács,JOBBIK
64,0.13 %,Mohács,HHP
228,0.48 %,Mohács,CSP
213,0.44 %,Mohács,SEM
0,0.0 %,Mohács,IMA
97,0.2 %,Mohács,HAJRÁ MAGYARORSZÁG!
0,0.0 %,Mohács,HAM
284,0.59 %,Mohács,MUNKÁSPÁRT
339,0.68 %,Szigetvár,MUNKÁSPÁRT
203,0.41 %,Szigetvár,CSP
59,0.12 %,Szigetvár,ÖSSZEFOGÁS PÁRT
0,0.0 %,Szigetvár,IMA
383,0.77 %,Szigetvár,MOMENTUM
1667,3.33 %,Szigetvár,LMP
71,0.14 %,Szigetvár,MIÉP
0,0.0 %,Szigetvár,Független jelölt
13605,27.19 %,Szigetvár,MSZP-PÁRBESZÉD
0,0.0 %,Szigetvár,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
25,0.05 %,Szigetvár,MEDETE PÁRT
77,0.15 %,Szigetvár,OP
24479,48.93 %,Szigetvár,FIDESZ-KDNP
56,0.11 %,Szigetvár,SZEM PÁRT
7914,15.82 %,Szigetvár,JOBBIK
43,0.09 %,Szigetvár,HAJRÁ MAGYARORSZÁG!
91,0.18 %,Szigetvár,FKGP
50,0.1 %,Szigetvár,A HAZA PÁRTJA
144,0.29 %,Szigetvár,EGYÜTT
535,1.07 %,Szigetvár,MKKP
72,0.14 %,Szigetvár,SEM
120,0.24 %,Szigetvár,MCP
96,0.19 %,Szigetvár,ÚMF
6373,12.21 %,Budapest XX. kerület,JOBBIK
141,0.27 %,Budapest XX. kerület,SZEM PÁRT
1060,2.03 %,Budapest XX. kerület,MOMENTUM
78,0.15 %,Budapest XX. kerület,LENDÜLETTEL
0,0.0 %,Budapest XX. kerület,HAM
19462,37.28 %,Budapest XX. kerület,FIDESZ-KDNP
22572,43.23 %,Budapest XX. kerület,MSZP-PÁRBESZÉD
48,0.09 %,Budapest XX. kerület,ÉRTÜNK ÉRTETEK
0,0.0 %,Budapest XX. kerület,EGYÜTT
2287,4.38 %,Budapest XX. kerület,LMP
190,0.36 %,Budapest XX. kerület,MIÉP
23848,39.7 %,Budapest XVIII. kerület,FIDESZ-KDNP
368,0.61 %,Budapest XVIII. kerület,KÖZÖS NEVEZŐ
27813,46.3 %,Budapest XVIII. kerület,MSZP-PÁRBESZÉD
0,0.0 %,Budapest XVIII. kerület,MOMENTUM
0,0.0 %,Budapest XVIII. kerület,LENDÜLETTEL
226,0.38 %,Budapest XVIII. kerület,MUNKÁSPÁRT
50,0.08 %,Budapest XVIII. kerület,IRÁNYTŰ
135,0.22 %,Budapest XVIII. kerület,SZEM PÁRT
131,0.22 %,Budapest XVIII. kerület,MIÉP
0,0.0 %,Budapest XVIII. kerület,HAJRÁ MAGYARORSZÁG!
0,0.0 %,Budapest XVIII. kerület,LMP
6977,11.61 %,Budapest XVIII. kerület,JOBBIK
524,0.87 %,Budapest XVIII. kerület,CSP
